FILENAME,TABLENAME,PVO_NAME,BICC_BATCH_NAME,CLUSTER_FIELDS,PARTITION_BY_TIME,PARTITION_BY_INTEGER,PK_TABLE,INC_TABLE,IEI_TABLE
file_fscmtopmodelam_finapinvsetuppmttermsam_paymenttermlinepvo,FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_LINE,fscmtopmodelam.finapinvsetuppmttermsam.paymenttermlinepvo,FSC-FULL,,,,PK_FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_LINE,INC_FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_LINE,IEI_FSCM_FINAPINVSETUPPMTTERMS_PAYMENT_TERM_LINE
file_fscmtopmodelam_finapinvtransactionsam_invoicepaymentschedulepvo,FSCM_FINAPINVTRANSACTIONS_INVOICE_PAYMENT_SCHEDULE,fscmtopmodelam.finapinvtransactionsam.invoicepaymentschedulepvo,FSC-FULL,,,,PK_FSCM_FINAPINVTRANSACTIONS_INVOICE_PAYMENT_SCHEDULE,INC_FSCM_FINAPINVTRANSACTIONS_INVOICE_PAYMENT_SCHEDULE,IEI_FSCM_FINAPINVTRANSACTIONS_INVOICE_PAYMENT_SCHEDULE
file_fscmtopmodelam_finapinvtransactionsam_suppliersiteaddresspvo,FSCM_FINAPINVTRANSACTIONS_SUPPLIER_SITE_ADDRESS,fscmtopmodelam.finapinvtransactionsam.suppliersiteaddresspvo,FSC-FULL,,,,PK_FSCM_FINAPINVTRANSACTIONS_SUPPLIER_SITE_ADDRESS,INC_FSCM_FINAPINVTRANSACTIONS_SUPPLIER_SITE_ADDRESS,IEI_FSCM_FINAPINVTRANSACTIONS_SUPPLIER_SITE_ADDRESS
file_fscmtopmodelam_finappmtsinglepaymentsam_disbursementheaderpvo,FSCM_FINAPPMTSINGLEPAYMENTS_DISBURSEMENT_HEADER,fscmtopmodelam.finappmtsinglepaymentsam.disbursementheaderpvo,FSC-FULL,,,,PK_FSCM_FINAPPMTSINGLEPAYMENTS_DISBURSEMENT_HEADER,INC_FSCM_FINAPPMTSINGLEPAYMENTS_DISBURSEMENT_HEADER,IEI_FSCM_FINAPPMTSINGLEPAYMENTS_DISBURSEMENT_HEADER
file_fscmtopmodelam_finexmentrysharedam_corporatecardtransactionpvo,FSCM_FINEXMENTRYSHARED_CORPORATE_CARD_TRANSACTION,fscmtopmodelam.finexmentrysharedam.corporatecardtransactionpvo,FSC-FULL,,,,PK_FSCM_FINEXMENTRYSHARED_CORPORATE_CARD_TRANSACTION,INC_FSCM_FINEXMENTRYSHARED_CORPORATE_CARD_TRANSACTION,IEI_FSCM_FINEXMENTRYSHARED_CORPORATE_CARD_TRANSACTION
file_fscmtopmodelam_finextractam_apbiccextractam_disbursementheaderextractpvo,FSCM_FIN_AP_DISBURSEMENT_HEADER_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.disbursementheaderextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_DISBURSEMENT_HEADER_EXTRACT,INC_FSCM_FIN_AP_DISBURSEMENT_HEADER_EXTRACT,IEI_FSCM_FIN_AP_DISBURSEMENT_HEADER_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_invoicedistributionextractpvo,FSCM_FIN_AP_INVOICE_DISTRIBUTION_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.invoicedistributionextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_INVOICE_DISTRIBUTION_EXTRACT,INC_FSCM_FIN_AP_INVOICE_DISTRIBUTION_EXTRACT,IEI_FSCM_FIN_AP_INVOICE_DISTRIBUTION_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_invoiceheaderextractpvo,FSCM_FIN_AP_INVOICE_HEADER_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.invoiceheaderextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_INVOICE_HEADER_EXTRACT,INC_FSCM_FIN_AP_INVOICE_HEADER_EXTRACT,IEI_FSCM_FIN_AP_INVOICE_HEADER_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_invoiceholdextractpvo,FSCM_FIN_AP_INVOICE_HOLD_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.invoiceholdextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_INVOICE_HOLD_EXTRACT,INC_FSCM_FIN_AP_INVOICE_HOLD_EXTRACT,IEI_FSCM_FIN_AP_INVOICE_HOLD_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_invoicelineextractpvo,FSCM_FIN_AP_INVOICE_LINE_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.invoicelineextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_INVOICE_LINE_EXTRACT,INC_FSCM_FIN_AP_INVOICE_LINE_EXTRACT,IEI_FSCM_FIN_AP_INVOICE_LINE_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_invoicepaymentscheduleextractpvo,FSCM_FIN_AP_INVOICE_PAYMENT_SCHEDULE_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.invoicepaymentscheduleextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_INVOICE_PAYMENT_SCHEDULE_EXTRACT,INC_FSCM_FIN_AP_INVOICE_PAYMENT_SCHEDULE_EXTRACT,IEI_FSCM_FIN_AP_INVOICE_PAYMENT_SCHEDULE_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_paiddisbursementscheduleextractpvo,FSCM_FIN_AP_PAID_DISBURSEMENT_SCHEDULE_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.paiddisbursementscheduleextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_PAID_DISBURSEMENT_SCHEDULE_EXTRACT,INC_FSCM_FIN_AP_PAID_DISBURSEMENT_SCHEDULE_EXTRACT,IEI_FSCM_FIN_AP_PAID_DISBURSEMENT_SCHEDULE_EXTRACT
file_fscmtopmodelam_finextractam_apbiccextractam_paymenttermheadertranslationextractpvo,FSCM_FIN_AP_PAYMENT_TERM_HEADER_TRANSLATION_EXTRACT,fscmtopmodelam.finextractam.apbiccextractam.paymenttermheadertranslationextractpvo,FSC-FULL,,,,PK_FSCM_FIN_AP_PAYMENT_TERM_HEADER_TRANSLATION_EXTRACT,INC_FSCM_FIN_AP_PAYMENT_TERM_HEADER_TRANSLATION_EXTRACT,IEI_FSCM_FIN_AP_PAYMENT_TERM_HEADER_TRANSLATION_EXTRACT
file_fscmtopmodelam_finextractam_cebiccextractam_bankaccountextractpvo,FSCM_FIN_CE_BANK_ACCOUNT_EXTRACT,fscmtopmodelam.finextractam.cebiccextractam.bankaccountextractpvo,FSC-FULL,,,,PK_FSCM_FIN_CE_BANK_ACCOUNT_EXTRACT,INC_FSCM_FIN_CE_BANK_ACCOUNT_EXTRACT,IEI_FSCM_FIN_CE_BANK_ACCOUNT_EXTRACT
file_fscmtopmodelam_finextractam_exmbiccextractam_expensedistributionextractpvo,FSCM_FIN_EXM_EXPENSE_DISTRIBUTION_EXTRACT,fscmtopmodelam.finextractam.exmbiccextractam.expensedistributionextractpvo,FSC-FULL,,,,PK_FSCM_FIN_EXM_EXPENSE_DISTRIBUTION_EXTRACT,INC_FSCM_FIN_EXM_EXPENSE_DISTRIBUTION_EXTRACT,IEI_FSCM_FIN_EXM_EXPENSE_DISTRIBUTION_EXTRACT
file_fscmtopmodelam_finextractam_exmbiccextractam_expenseextractpvo,FSCM_FIN_EXM_EXPENSE_EXTRACT,fscmtopmodelam.finextractam.exmbiccextractam.expenseextractpvo,FSC-FULL,,,,PK_FSCM_FIN_EXM_EXPENSE_EXTRACT,INC_FSCM_FIN_EXM_EXPENSE_EXTRACT,IEI_FSCM_FIN_EXM_EXPENSE_EXTRACT
file_fscmtopmodelam_finextractam_exmbiccextractam_expensereportextractpvo,FSCM_FIN_EXM_EXPENSE_REPORT_EXTRACT,fscmtopmodelam.finextractam.exmbiccextractam.expensereportextractpvo,FSC-FULL,,,,PK_FSCM_FIN_EXM_EXPENSE_REPORT_EXTRACT,INC_FSCM_FIN_EXM_EXPENSE_REPORT_EXTRACT,IEI_FSCM_FIN_EXM_EXPENSE_REPORT_EXTRACT
file_fscmtopmodelam_finextractam_exmbiccextractam_expensetemplateextractpvo,FSCM_FIN_EXM_EXPENSE_TEMPLATE_EXTRACT,fscmtopmodelam.finextractam.exmbiccextractam.expensetemplateextractpvo,FSC-FULL,,,,PK_FSCM_FIN_EXM_EXPENSE_TEMPLATE_EXTRACT,INC_FSCM_FIN_EXM_EXPENSE_TEMPLATE_EXTRACT,IEI_FSCM_FIN_EXM_EXPENSE_TEMPLATE_EXTRACT
file_fscmtopmodelam_finextractam_exmbiccextractam_expensetypeextractpvo,FSCM_FIN_EXM_EXPENSE_TYPE_EXTRACT,fscmtopmodelam.finextractam.exmbiccextractam.expensetypeextractpvo,FSC-FULL,,,,PK_FSCM_FIN_EXM_EXPENSE_TYPE_EXTRACT,INC_FSCM_FIN_EXM_EXPENSE_TYPE_EXTRACT,IEI_FSCM_FIN_EXM_EXPENSE_TYPE_EXTRACT
file_fscmtopmodelam_finextractam_fabiccextractam_additionextractpvo,FSCM_FIN_FA_ADDITION_EXTRACT,fscmtopmodelam.finextractam.fabiccextractam.additionextractpvo,FSC-FULL,,,,PK_FSCM_FIN_FA_ADDITION_EXTRACT,INC_FSCM_FIN_FA_ADDITION_EXTRACT,IEI_FSCM_FIN_FA_ADDITION_EXTRACT
file_fscmtopmodelam_finextractam_fabiccextractam_bookextractpvo,FSCM_FIN_FA_BOOK_EXTRACT,fscmtopmodelam.finextractam.fabiccextractam.bookextractpvo,FSC-FULL,,,,PK_FSCM_FIN_FA_BOOK_EXTRACT,INC_FSCM_FIN_FA_BOOK_EXTRACT,IEI_FSCM_FIN_FA_BOOK_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_balanceextractpvo,FSCM_FIN_GL_BALANCE_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.balanceextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_BALANCE_EXTRACT,INC_FSCM_FIN_GL_BALANCE_EXTRACT,IEI_FSCM_FIN_GL_BALANCE_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_codecombinationextractpvo,FSCM_FIN_GL_CODE_COMBINATION_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.codecombinationextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_CODE_COMBINATION_EXTRACT,INC_FSCM_FIN_GL_CODE_COMBINATION_EXTRACT,IEI_FSCM_FIN_GL_CODE_COMBINATION_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_journalcategoryextractpvo,FSCM_FIN_GL_JOURNAL_CATEGORY_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.journalcategoryextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_JOURNAL_CATEGORY_EXTRACT,INC_FSCM_FIN_GL_JOURNAL_CATEGORY_EXTRACT,IEI_FSCM_FIN_GL_JOURNAL_CATEGORY_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_journalreconlineextractpvo,FSCM_FIN_GL_JOURNAL_RECON_LINE_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.journalreconlineextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_JOURNAL_RECON_LINE_EXTRACT,INC_FSCM_FIN_GL_JOURNAL_RECON_LINE_EXTRACT,IEI_FSCM_FIN_GL_JOURNAL_RECON_LINE_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_ledgerextractpvo,FSCM_FIN_GL_LEDGER_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.ledgerextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_LEDGER_EXTRACT,INC_FSCM_FIN_GL_LEDGER_EXTRACT,IEI_FSCM_FIN_GL_LEDGER_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_legalentitybsvassgmtextractpvo,FSCM_FIN_GL_LEGAL_ENTITY_BS_VASSGMT_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.legalentitybsvassgmtextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_LEGAL_ENTITY_BS_VASSGMT_EXTRACT,INC_FSCM_FIN_GL_LEGAL_ENTITY_BS_VASSGMT_EXTRACT,IEI_FSCM_FIN_GL_LEGAL_ENTITY_BS_VASSGMT_EXTRACT
file_fscmtopmodelam_finextractam_glbiccextractam_periodstatusextractpvo,FSCM_FIN_GL_PERIOD_STATUS_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.periodstatusextractpvo,FSC-FULL,,,,PK_FSCM_FIN_GL_PERIOD_STATUS_EXTRACT,INC_FSCM_FIN_GL_PERIOD_STATUS_EXTRACT,IEI_FSCM_FIN_GL_PERIOD_STATUS_EXTRACT
file_fscmtopmodelam_finextractam_xlebiccextractam_legalentityextractpvo,FSCM_FIN_XLE_LEGAL_ENTITY_EXTRACT,fscmtopmodelam.finextractam.xlebiccextractam.legalentityextractpvo,FSC-FULL,,,,PK_FSCM_FIN_XLE_LEGAL_ENTITY_EXTRACT,INC_FSCM_FIN_XLE_LEGAL_ENTITY_EXTRACT,IEI_FSCM_FIN_XLE_LEGAL_ENTITY_EXTRACT
file_fscmtopmodelam_finextractam_xlebiccextractam_registrationextractpvo,FSCM_FIN_XLE_REGISTRATION_EXTRACT,fscmtopmodelam.finextractam.xlebiccextractam.registrationextractpvo,FSC-FULL,,,,PK_FSCM_FIN_XLE_REGISTRATION_EXTRACT,INC_FSCM_FIN_XLE_REGISTRATION_EXTRACT,IEI_FSCM_FIN_XLE_REGISTRATION_EXTRACT
file_fscmtopmodelam_finglcalaccam_periodstatuspvo,FSCM_FINGLCALACC_PERIOD_STATUS,fscmtopmodelam.finglcalaccam.periodstatuspvo,FSC-FULL,,,,PK_FSCM_FINGLCALACC_PERIOD_STATUS,INC_FSCM_FINGLCALACC_PERIOD_STATUS,IEI_FSCM_FINGLCALACC_PERIOD_STATUS
file_fscmtopmodelam_fingljrnlentriesam_journalheaderextractpvo,FSCM_FINGLJRNLENTRIES_JOURNAL_HEADER_EXTRACT,fscmtopmodelam.fingljrnlentriesam.journalheaderextractpvo,FSC-FULL,,,,PK_FSCM_FINGLJRNLENTRIES_JOURNAL_HEADER_EXTRACT,INC_FSCM_FINGLJRNLENTRIES_JOURNAL_HEADER_EXTRACT,IEI_FSCM_FINGLJRNLENTRIES_JOURNAL_HEADER_EXTRACT
file_fscmtopmodelam_fingljrnlsetupsrcam_journalsourcebpvo,FSCM_FINGLJRNLSETUPSRC_JOURNAL_SOURCE_B,fscmtopmodelam.fingljrnlsetupsrcam.journalsourcebpvo,FSC-FULL,,,,PK_FSCM_FINGLJRNLSETUPSRC_JOURNAL_SOURCE_B,INC_FSCM_FINGLJRNLSETUPSRC_JOURNAL_SOURCE_B,IEI_FSCM_FINGLJRNLSETUPSRC_JOURNAL_SOURCE_B
file_fscmtopmodelam_finglshrdflexfieldam_segmentvaluehierarchypvo,FSCM_FINGLSHRDFLEXFIELD_SEGMENT_VALUE_HIERARCHY,fscmtopmodelam.finglshrdflexfieldam.segmentvaluehierarchypvo,FSC-FULL,,,,PK_FSCM_FINGLSHRDFLEXFIELD_SEGMENT_VALUE_HIERARCHY,INC_FSCM_FINGLSHRDFLEXFIELD_SEGMENT_VALUE_HIERARCHY,IEI_FSCM_FINGLSHRDFLEXFIELD_SEGMENT_VALUE_HIERARCHY
file_fscmtopmodelam_gmsawardam_awardcfdapvo,FSCM_GMSAWARD_AWARD_CF_DA,fscmtopmodelam.gmsawardam.awardcfdapvo,FSC-FULL,,,,PK_FSCM_GMSAWARD_AWARD_CF_DA,INC_FSCM_GMSAWARD_AWARD_CF_DA,IEI_FSCM_GMSAWARD_AWARD_CF_DA
file_fscmtopmodelam_gmsawardam_awardfundingpvo,FSCM_GMSAWARD_AWARD_FUNDING,fscmtopmodelam.gmsawardam.awardfundingpvo,FSC-FULL,,,,PK_FSCM_GMSAWARD_AWARD_FUNDING,INC_FSCM_GMSAWARD_AWARD_FUNDING,IEI_FSCM_GMSAWARD_AWARD_FUNDING
file_fscmtopmodelam_gmsawardam_awardpersonnelpvo,FSCM_GMSAWARD_AWARD_PERSONNEL,fscmtopmodelam.gmsawardam.awardpersonnelpvo,FSC-FULL,,,,PK_FSCM_GMSAWARD_AWARD_PERSONNEL,INC_FSCM_GMSAWARD_AWARD_PERSONNEL,IEI_FSCM_GMSAWARD_AWARD_PERSONNEL
file_fscmtopmodelam_jobam_jobpvo,FSCM_JOB_JOB,fscmtopmodelam.jobam.jobpvo,FSC-FULL,,,,PK_FSCM_JOB_JOB,INC_FSCM_JOB_JOB,IEI_FSCM_JOB_JOB
file_fscmtopmodelam_locationam_locationrefpvo,FSCM_LOCATION_LOCATION_REF,fscmtopmodelam.locationam.locationrefpvo,FSC-FULL,,,,PK_FSCM_LOCATION_LOCATION_REF,INC_FSCM_LOCATION_LOCATION_REF,IEI_FSCM_LOCATION_LOCATION_REF
file_fscmtopmodelam_organizationam_organizationpvo,FSCM_ORGANIZATION_ORGANIZATION,fscmtopmodelam.organizationam.organizationpvo,FSC-FULL,,,,PK_FSCM_ORGANIZATION_ORGANIZATION,INC_FSCM_ORGANIZATION_ORGANIZATION,IEI_FSCM_ORGANIZATION_ORGANIZATION
